source,timestamp,severity,ip,dest_ip,threat_type,details,category
Suricata IDS,2015-03-13T05:48:46.166276-0600,HIGH,192.168.0.54,162.209.122.21,IDS Alert,ET MALWARE W32/OpenCandy Adware Checkin,A Network Trojan was detected
Suricata IDS,2015-03-16T03:33:57.006572-0600,HIGH,192.168.0.54,162.13.99.124,IDS Alert,ET MALWARE Common Adware Library ISX User Agent Detected,A Network Trojan was detected
Suricata IDS,2015-03-11T05:48:24.684057-0600,HIGH,192.168.0.51,192.168.0.1,IDS Alert,ET DNS Query for .su TLD (Soviet Union) Often Malware Related,Potentially Bad Traffic
Suricata IDS,2015-03-17T02:17:23.290702-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER IIS 8.3 Filename With Wildcard (Possible File/Dir Bruteforce),Detection of a Network Scan
Suricata IDS,2015-03-19T02:39:02.094206-0600,HIGH,192.168.0.54,103.10.197.187,IDS Alert,ET TROJAN Unknown - Loader - Check .exe Updated,A Network Trojan was detected
Suricata IDS,2015-04-07T12:19:56.465866-0600,HIGH,104.130.247.52,192.168.0.2,IDS Alert,ET WEB_SERVER ColdFusion administrator access,Web Application Attack
Suricata IDS,2015-04-12T14:52:35.619308-0600,HIGH,85.114.141.217,192.168.0.2,IDS Alert,ET SCAN GET with HTML tag in start of URI seen with PHPMyAdmin scanning,Web Application Attack
Suricata IDS,2015-04-11T14:25:11.424711-0600,HIGH,45.63.7.209,192.168.0.2,IDS Alert,ET WEB_SERVER WebShell Generic - wget http - POST,Potentially Bad Traffic
Suricata IDS,2015-03-10T06:22:05.394090-0600,HIGH,192.168.0.51,192.168.0.1,IDS Alert,ET DNS Query to a *.pw domain - Likely Hostile,Potentially Bad Traffic
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER allow_url_include PHP config option in uri,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER safe_mode PHP config option in uri,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER suhosin.simulation PHP config option in uri,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER disable_functions PHP config option in uri,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER open_basedir PHP config option in uri,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER auto_prepend_file PHP config option in uri,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Access to /phppath/php Possible Plesk 0-day Exploit June 05 2013,Attempted Administrator Privilege Gain
Suricata IDS,2015-03-17T02:23:41.084506-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER PHP SERVER SuperGlobal in URI,Potentially Bad Traffic
Suricata IDS,2015-03-26T18:21:21.827414-0600,HIGH,61.240.144.65,192.168.0.2,IDS Alert,ET SCAN NETWORK Incoming Masscan detected,Detection of a Network Scan
Suricata IDS,2015-04-07T21:27:02.538096-0600,HIGH,192.168.0.53,217.172.189.243,IDS Alert,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:29.463299-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.,A Network Trojan was detected
Suricata IDS,2015-04-08T04:46:32.316048-0600,HIGH,91.217.90.49,192.168.0.2,IDS Alert,ET EXPLOIT Possible ZyXELs ZynOS Configuration Download Attempt (Contains Passwords),Attempted Administrator Privilege Gain
Suricata IDS,2015-04-07T07:35:05.364018-0600,HIGH,192.168.0.53,193.9.28.35,IDS Alert,ET TROJAN Miuref/Boaxxe Checkin,A Network Trojan was detected
Suricata IDS,2015-03-18T04:35:45.739246-0600,HIGH,103.10.197.187,192.168.0.54,IDS Alert,ET POLICY PE EXE or DLL Windows file download HTTP,Potential Corporate Privacy Violation
Suricata IDS,2015-03-17T02:25:56.644842-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers,Attempted Administrator Privilege Gain
Suricata IDS,2015-03-17T02:25:56.360335-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Possible CVE-2014-6271 Attempt in HTTP Cookie,Attempted Administrator Privilege Gain
Suricata IDS,2015-03-12T06:28:12.136123-0600,HIGH,192.168.0.2,217.195.49.146,IDS Alert,ET ATTACK_RESPONSE Output of id command from HTTP server,Potentially Bad Traffic
Suricata IDS,2015-04-05T17:06:44.986623-0600,HIGH,46.28.206.148,192.168.0.2,IDS Alert,ET WEB_SERVER Possible bash shell piped to dev tcp Inbound to WebServer,Potentially Bad Traffic
Suricata IDS,2015-04-08T20:16:48.304137-0600,HIGH,66.135.38.206,192.168.0.2,IDS Alert,ET WEB_SERVER CURL Command Specifying Output in HTTP Headers,Attempted Administrator Privilege Gain
Suricata IDS,2015-04-08T20:16:48.304137-0600,HIGH,66.135.38.206,192.168.0.2,IDS Alert,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers,Attempted Administrator Privilege Gain
Suricata IDS,2015-04-09T04:09:02.683325-0600,HIGH,60.250.33.201,192.168.0.2,IDS Alert,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers,Attempted Administrator Privilege Gain
Suricata IDS,2015-03-09T02:30:58.027602-0600,HIGH,191.232.80.55,192.168.0.53,IDS Alert,ET POLICY SSLv3 outbound connection from client vulnerable to POODLE attack,Potential Corporate Privacy Violation
Suricata IDS,2015-03-17T02:16:50.146634-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER WEB-PHP phpinfo access,Information Leak
Suricata IDS,2015-03-17T02:25:49.469240-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER PHP.//Input in HTTP POST,A Network Trojan was detected
Suricata IDS,2015-03-17T02:23:48.373044-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER PHP System Command in HTTP POST,Web Application Attack
Suricata IDS,2015-03-27T02:49:35.170605-0600,HIGH,192.168.0.54,192.168.0.1,IDS Alert,ET POLICY Dropbox DNS Lookup - Possible Offsite File Backup in Use,Potential Corporate Privacy Violation
Suricata IDS,2015-04-07T07:34:44.564366-0600,HIGH,192.168.0.53,68.164.182.11,IDS Alert,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct M2 Feb 06 2015,A Network Trojan was detected
Suricata IDS,2015-04-07T07:47:48.239690-0600,HIGH,92.222.174.249,192.168.0.53,IDS Alert,ET CURRENT_EVENTS Nuclear EK Landing Apr 03 2015,A Network Trojan was detected
Suricata IDS,2015-04-07T07:47:48.239690-0600,HIGH,92.222.174.249,192.168.0.53,IDS Alert,ET CURRENT_EVENTS Nuclear EK Landing Apr 08 2015,A Network Trojan was detected
Suricata IDS,2015-04-07T07:47:48.239690-0600,HIGH,92.222.174.249,192.168.0.53,IDS Alert,ET CURRENT_EVENTS Nuclear EK Landing Apr 22 2015,A Network Trojan was detected
Suricata IDS,2015-04-08T17:57:24.710773-0600,HIGH,192.168.0.53,88.214.241.199,IDS Alert,ET TROJAN Poweliks Clickfraud CnC M4,A Network Trojan was detected
Suricata IDS,2015-04-07T07:34:44.564366-0600,HIGH,192.168.0.53,68.164.182.11,IDS Alert,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct Sept 15 2015,A Network Trojan was detected
Suricata IDS,2015-03-17T02:25:56.644842-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,ET WEB_SERVER Possible CVE-2014-6271 Attempt,Attempted Administrator Privilege Gain
Suricata IDS,2015-03-17T03:01:20.331207-0600,HIGH,192.168.0.54,213.155.156.188,IDS Alert,ET POLICY Outdated Flash Version M2,Potential Corporate Privacy Violation
Suricata IDS,2015-04-11T14:25:11.424711-0600,HIGH,45.63.7.209,192.168.0.2,IDS Alert,ET WEB_SERVER 401TRG Generic Webshell Request - POST with wget in body,Web Application Attack
Suricata IDS,2015-04-13T02:42:43.754579-0600,HIGH,192.168.0.53,71.95.164.42,IDS Alert,ET TROJAN Possible NanoCore C2 60B,A Network Trojan was detected
Suricata IDS,2015-03-19T04:50:09.415390-0600,HIGH,103.10.197.187,192.168.0.54,IDS Alert,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),A Network Trojan was detected
Suricata IDS,2015-03-18T03:57:03.005367-0600,HIGH,192.168.0.54,54.146.156.135,IDS Alert,GPL CHAT Jabber/Google Talk Outgoing Traffic,Not Suspicious Traffic
Suricata IDS,2015-03-17T02:07:45.512575-0600,HIGH,82.165.177.154,192.168.0.51,IDS Alert,GPL ATTACK_RESPONSE id check returned root,Potentially Bad Traffic
Suricata IDS,2015-03-17T02:22:26.369465-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT .htr access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:16:33.652764-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER iisadmin access,Web Application Attack
Suricata IDS,2015-03-17T02:18:22.459631-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT fpcount access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:19:32.839817-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER global.asa access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:22:26.369465-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT iisadmpwd attempt,Web Application Attack
Suricata IDS,2015-03-17T02:19:31.179726-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER Tomcat directory traversal attempt,Web Application Attack
Suricata IDS,2015-03-17T02:19:29.430235-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER Tomcat server snoop access,Attempted Information Leak
Suricata IDS,2015-03-17T02:22:00.306902-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER .htaccess access,Attempted Information Leak
Suricata IDS,2015-03-17T02:21:10.429767-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER /~root access,Attempted Information Leak
Suricata IDS,2015-03-27T12:23:05.279430-0600,HIGH,192.168.0.2,94.243.223.7,IDS Alert,GPL WEB_SERVER 403 Forbidden,Attempted Information Leak
Suricata IDS,2015-03-17T02:18:50.147111-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT ISAPI .ida access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:23:43.985923-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT ISAPI .ida attempt,Web Application Attack
Suricata IDS,2015-03-17T02:16:33.440800-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT ISAPI .idq attempt,Web Application Attack
Suricata IDS,2015-03-17T02:16:33.440800-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT ISAPI .idq access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:16:46.381710-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT CodeRed v2 root.exe access,Web Application Attack
Suricata IDS,2015-03-17T02:16:33.795180-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT iissamples access,Web Application Attack
Suricata IDS,2015-03-17T02:23:08.072263-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER viewcode access,Web Application Attack
Suricata IDS,2015-03-17T02:22:26.547334-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL EXPLOIT /iisadmpwd/aexp2.htr access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:16:48.079266-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER Oracle Java Process Manager access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:17:37.814242-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER printenv access,access to a potentially vulnerable web application
Suricata IDS,2015-03-17T02:20:25.771510-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER perl post attempt,Web Application Attack
Suricata IDS,2015-03-17T02:19:31.179726-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER Tomcat null byte directory listing attempt,Web Application Attack
Suricata IDS,2015-03-17T02:22:13.263555-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,GPL WEB_SERVER mod_gzip_status access,access to a potentially vulnerable web application
Suricata IDS,2015-03-09T03:21:01.184624-0600,HIGH,192.168.0.54,37.59.31.55,IDS Alert,SURICATA HTTP gzip decompression failed,Generic Protocol Command Decode
Suricata IDS,2015-04-09T20:23:20.548094-0600,HIGH,192.168.0.53,115.241.97.181,IDS Alert,SURICATA HTTP request field missing colon,Generic Protocol Command Decode
Suricata IDS,2015-03-17T02:14:53.016394-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,SURICATA HTTP invalid transfer encoding value in request,Generic Protocol Command Decode
Suricata IDS,2015-04-08T07:54:41.410733-0600,HIGH,85.195.90.199,192.168.0.53,IDS Alert,SURICATA HTTP unable to match response to request,Generic Protocol Command Decode
Suricata IDS,2015-03-17T02:24:48.842972-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,SURICATA HTTP request header invalid,Generic Protocol Command Decode
Suricata IDS,2015-03-27T07:41:31.894611-0600,HIGH,64.79.50.35,192.168.0.2,IDS Alert,SURICATA HTTP missing Host header,Generic Protocol Command Decode
Suricata IDS,2015-03-21T16:50:04.392100-0600,HIGH,222.186.21.70,192.168.0.2,IDS Alert,SURICATA HTTP Host header ambiguous,Generic Protocol Command Decode
Suricata IDS,2015-03-13T05:48:29.379561-0600,HIGH,195.12.232.145,192.168.0.54,IDS Alert,SURICATA HTTP response header invalid,Generic Protocol Command Decode
Suricata IDS,2015-03-21T16:50:04.392100-0600,HIGH,222.186.21.70,192.168.0.2,IDS Alert,SURICATA HTTP Host part of URI is invalid,Generic Protocol Command Decode
Suricata IDS,2015-03-17T02:17:14.069279-0600,HIGH,54.235.163.229,192.168.0.2,IDS Alert,SURICATA HTTP Host header invalid,Generic Protocol Command Decode
Suricata IDS,2015-03-20T10:50:46.227082-0600,HIGH,108.88.109.67,192.168.0.2,IDS Alert,SURICATA HTTP URI terminated by non-compliant character,Generic Protocol Command Decode
Suricata IDS,2015-03-20T10:50:46.227082-0600,HIGH,108.88.109.67,192.168.0.2,IDS Alert,SURICATA HTTP METHOD terminated by non-compliant character,Generic Protocol Command Decode
Suricata IDS,2015-03-20T18:50:48.286010-0600,HIGH,189.41.141.241,192.168.0.2,IDS Alert,SURICATA HTTP Request line with leading whitespace,Generic Protocol Command Decode
Suricata IDS,2015-04-08T07:48:54.117740-0600,HIGH,192.168.0.53,85.195.90.199,IDS Alert,SURICATA HTTP Request abnormal Content-Encoding header,Generic Protocol Command Decode
Suricata IDS,2015-04-06T12:46:43.158576-0600,HIGH,91.190.216.26,192.168.0.54,IDS Alert,SURICATA TLS invalid handshake message,Generic Protocol Command Decode
Suricata IDS,2015-03-11T03:57:49.425143-0600,HIGH,192.168.0.51,108.175.144.81,IDS Alert,SURICATA TLS invalid record/traffic,Generic Protocol Command Decode
Suricata IDS,2015-03-11T03:57:49.425143-0600,HIGH,192.168.0.51,108.175.144.81,IDS Alert,SURICATA TLS invalid record version,Generic Protocol Command Decode
Suricata IDS,2015-04-08T00:54:30.796298-0600,HIGH,192.168.0.1,192.168.0.53,IDS Alert,SURICATA DNS Unsolicited response,Generic Protocol Command Decode
Suricata IDS,2015-03-20T12:48:25.961043-0600,HIGH,71.6.165.200,192.168.0.2,IDS Alert,ET CINS Active Threat Intelligence Poor Reputation IP group 66,Misc Attack
Suricata IDS,2015-03-20T08:25:11.020406-0600,HIGH,89.21.95.216,192.168.0.54,IDS Alert,ET CINS Active Threat Intelligence Poor Reputation IP group 91,Misc Attack
Suricata IDS,2015-03-21T02:20:25.821320-0600,HIGH,93.174.93.218,192.168.0.2,IDS Alert,ET CINS Active Threat Intelligence Poor Reputation IP group 100,Misc Attack
SSH Logs,Jan 20 22:54:47,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 52678 [preauth],
SSH Logs,Jan 20 22:55:11,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 52744,
SSH Logs,Jan 20 22:55:19,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 52758,
SSH Logs,Jan 20 23:03:06,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user  from 192.168.0.15 port 56440,
SSH Logs,Jan 20 23:03:06,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user  192.168.0.15 port 56440 [preauth],
SSH Logs,Jan 20 23:03:10,CRITICAL,192.168.0.15,,SSH_log4shell_attempt,Unable to negotiate with 192.168.0.15 port 56456: no matching key exchange method found. Their offer: ${jndi:ldap://log4shell-ssh-jT0PtFdE1ze2OQVFBYs2...,
SSH Logs,Jan 20 23:03:12,CRITICAL,192.168.0.15,,SSH_log4shell_attempt,Disconnecting 192.168.0.15 port 56460: bad service request ${jndi:ldap://log4shell-ssh-jT0PtFdE1ze2OQVFBYs2${lower:ten}.w.nessus.org/nessus [preauth],
SSH Logs,Jan 20 23:03:12,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 56464 [preauth],
SSH Logs,Jan 20 23:03:14,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user nessus from 192.168.0.15 port 56466,
SSH Logs,Jan 20 23:03:14,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 56468 [preauth],
SSH Logs,Jan 20 23:03:16,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user nessus from 192.168.0.15 port 56474,
SSH Logs,Jan 20 23:03:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user nessus from 192.168.0.15 port 56498,
SSH Logs,Jan 20 23:03:19,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user ${jndi from 192.168.0.15 port 56500,
SSH Logs,Jan 20 23:03:22,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user ${jndi from 192.168.0.15 port 56500 ssh2,
SSH Logs,Jan 20 23:03:24,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user ${jndi 192.168.0.15 port 56500 [preauth],
SSH Logs,Jan 20 23:03:40,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 56536,
SSH Logs,Jan 20 23:04:37,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 56642 [preauth],
SSH Logs,Jan 20 23:07:18,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 57642 [preauth],
